City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,50.49,87,100,5.12,light rain
1,Kloulklubed,PW,7.0419,134.2556,77.5,72,100,4.32,overcast clouds
2,Healesville,AU,-37.65,145.5167,53.02,74,100,1.99,overcast clouds
3,Busselton,AU,-33.65,115.3333,41.09,86,5,7.56,clear sky
4,Thompson,CA,55.7435,-97.8558,51.96,62,90,17.27,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,76.96,86,99,5.99,overcast clouds
6,Kruisfontein,ZA,-34.0033,24.7314,58.89,78,100,5.17,overcast clouds
7,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,38,14.74,light rain
8,Ushuaia,AR,-54.8,-68.3,44.26,45,40,14.97,scattered clouds
9,Punta Arenas,CL,-53.15,-70.9167,51.91,28,0,18.41,clear sky
10,Khatanga,RU,71.9667,102.5,42.01,68,12,9.28,few clouds
11,Castro,BR,-24.7911,-50.0119,66.74,73,100,5.64,overcast clouds
12,Ariquemes,BR,-9.9133,-63.0408,95.43,35,58,2.44,broken clouds
13,Hobart,AU,-42.8794,147.3294,42.66,86,90,3.0,overcast clouds
14,Namibe,AO,-15.1961,12.1522,67.48,90,100,3.47,overcast clouds
15,Paamiut,GL,61.994,-49.6678,45.45,94,100,8.7,moderate rain
16,Kuzino,RU,57.0224,59.4412,35.37,85,35,7.38,scattered clouds
17,Upernavik,GL,72.7868,-56.1549,26.01,49,0,7.43,clear sky
18,Camacha,PT,33.0833,-16.3333,76.53,73,20,8.05,few clouds
19,Dunedin,NZ,-45.8742,170.5036,45.81,80,100,17.0,light rain
20,San Patricio,US,28.017,-97.5169,91.81,42,0,11.86,clear sky
21,Rikitea,PF,-23.1203,-134.9692,73.81,70,47,12.12,scattered clouds
22,Sur,OM,22.5667,59.5289,87.55,61,59,6.98,broken clouds
23,Nuuk,GL,64.1835,-51.7216,43.41,65,75,11.5,broken clouds
24,Portland,US,45.5234,-122.6762,74.46,56,40,1.99,scattered clouds
25,Belle Fourche,US,44.6714,-103.8522,90.5,27,0,7.09,clear sky
26,Cape Town,ZA,-33.9258,18.4232,60.89,87,75,3.0,broken clouds
27,Port Lincoln,AU,-34.7333,135.8667,52.54,57,27,19.95,scattered clouds
28,Marawi,PH,7.9986,124.2928,66.65,86,100,2.33,overcast clouds
29,Bluff,NZ,-46.6,168.3333,50.81,69,100,21.85,light rain
30,Awjilah,LY,29.1081,21.2869,92.89,23,0,5.99,clear sky
31,Lata,PT,40.1629,-8.3327,77.04,77,66,2.95,broken clouds
32,Katsuura,JP,35.1333,140.3,75.31,91,100,8.41,overcast clouds
33,Maluso,PH,6.543,121.8753,78.89,85,100,5.53,overcast clouds
34,Skoczow,PL,49.8009,18.7877,70.02,64,5,5.53,clear sky
35,Jamestown,US,42.097,-79.2353,75.02,50,40,13.0,scattered clouds
36,Namalenga,TZ,-10.95,39.1,71.22,73,27,10.04,scattered clouds
37,Visnes,NO,59.3556,5.2242,61.57,100,90,10.36,mist
38,Cabo San Lucas,MX,22.8909,-109.9124,89.51,70,1,8.05,clear sky
39,Hermanus,ZA,-34.4187,19.2345,57.9,87,99,8.3,overcast clouds
40,Bredasdorp,ZA,-34.5322,20.0403,54.72,88,69,3.44,broken clouds
41,Kapaa,US,22.0752,-159.319,79.12,59,100,5.01,overcast clouds
42,Albany,US,42.6001,-73.9662,77.04,52,23,7.94,few clouds
43,Honningsvag,NO,70.9821,25.9704,43.59,71,99,0.72,overcast clouds
44,Te Anau,NZ,-45.4167,167.7167,41.81,95,91,10.13,overcast clouds
45,New Norfolk,AU,-42.7826,147.0587,42.3,81,10,5.01,light rain
46,Cherskiy,RU,68.75,161.3,25.12,79,100,1.28,overcast clouds
47,Gudivada,IN,16.45,80.9833,78.35,90,100,5.19,overcast clouds
48,Avarua,CK,-21.2078,-159.775,77.05,83,20,11.5,few clouds
49,Port Alfred,ZA,-33.5906,26.891,71.74,72,19,12.24,few clouds
50,Pedasi,PA,7.5333,-80.0333,82.15,74,100,11.03,overcast clouds
51,Ukiah,US,39.1502,-123.2078,92.12,37,1,3.44,clear sky
52,Tilichiki,RU,60.4667,166.1,35.38,64,67,21.3,broken clouds
53,Pevek,RU,69.7008,170.3133,29.23,79,100,14.2,overcast clouds
54,Moussoro,TD,13.6408,16.4901,87.37,54,100,13.33,overcast clouds
55,Lavrentiya,RU,65.5833,-171.0,41.72,85,100,13.18,light rain
56,Monrovia,LR,6.3005,-10.7969,78.78,83,100,7.29,overcast clouds
57,Rohru,IN,31.2167,77.75,62.73,85,100,4.38,overcast clouds
58,Awbari,LY,26.5921,12.7805,91.9,15,0,10.25,clear sky
59,Atuona,PF,-9.8,-139.0333,78.04,75,51,15.79,broken clouds
60,Hithadhoo,MV,-0.6,73.0833,82.98,69,100,6.64,overcast clouds
61,Georgetown,MY,5.4112,100.3354,78.89,91,20,3.44,few clouds
62,Carnarvon,AU,-24.8667,113.6333,60.87,67,0,16.11,clear sky
63,Belmonte,BR,-15.8631,-38.8828,82.4,67,0,10.22,clear sky
64,Tautira,PF,-17.7333,-149.15,78.82,62,43,12.73,scattered clouds
65,Neryungri,RU,56.6709,124.6491,43.59,90,0,2.48,clear sky
66,Bathsheba,BB,13.2167,-59.5167,90.21,79,40,14.97,scattered clouds
67,Ixtapa,MX,20.7,-105.2,88.23,70,1,5.75,clear sky
68,Lebu,CL,-37.6167,-73.65,53.55,91,99,30.94,overcast clouds
69,Ola,RU,59.5833,151.2833,35.56,62,10,7.92,clear sky
70,Nikolskoye,RU,59.7035,30.7861,57.09,99,100,3.67,overcast clouds
71,Jijiga,ET,9.35,42.8,63.88,87,100,9.66,moderate rain
72,Ketchikan,US,55.3422,-131.6461,53.64,98,100,6.42,moderate rain
73,Vaini,TO,-21.2,-175.2,71.76,94,75,6.91,light rain
74,Pangody,RU,65.85,74.4859,46.0,59,100,10.76,overcast clouds
75,Kavaratti,IN,10.5669,72.642,82.04,81,100,18.57,overcast clouds
76,Vermilion,US,40.1667,-87.7506,86.31,53,1,14.97,clear sky
77,Bilma,NE,18.6853,12.9164,98.55,16,89,6.11,overcast clouds
78,Kodiak,US,57.79,-152.4072,51.04,70,100,1.05,overcast clouds
79,Salvador,SV,13.8333,-88.9167,75.36,81,100,2.08,overcast clouds
80,Akhalgori,GE,42.126,44.4833,69.31,87,35,2.62,scattered clouds
81,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,81,75,16.11,broken clouds
82,Butaritari,KI,3.0707,172.7902,82.94,76,17,19.48,light rain
83,Barrow,US,71.2906,-156.7887,35.62,100,90,5.75,fog
84,Delano,US,35.7688,-119.247,88.32,28,1,0.0,clear sky
85,Caravelas,BR,-17.7125,-39.2481,78.96,67,0,10.11,clear sky
86,Dawei,MM,14.0833,98.2,74.37,92,93,1.72,overcast clouds
87,Yellowknife,CA,62.456,-114.3525,48.72,71,90,18.41,overcast clouds
88,Kavieng,PG,-2.5744,150.7967,81.52,75,80,6.42,broken clouds
89,Akcakoca,TR,41.0866,31.1162,63.79,80,1,3.74,clear sky
90,Fare,PF,-16.7,-151.0167,77.02,73,31,16.73,light rain
91,Narsaq,GL,60.9167,-46.05,45.79,79,100,17.43,moderate rain
92,Dakar,SN,14.6937,-17.4441,83.28,78,75,9.22,broken clouds
93,Hilo,US,19.7297,-155.09,82.27,75,58,1.99,light rain
94,Valea Mare,RO,44.4667,24.4333,69.69,31,17,3.83,light rain
95,Victoria,HK,22.2855,114.1577,87.96,88,12,1.01,light rain
96,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,72,75,16.11,broken clouds
97,Hit,IQ,33.6416,42.8251,85.48,29,0,10.25,clear sky
98,Kutum,SD,14.2,24.6667,80.01,55,7,0.43,clear sky
99,Leh,IN,34.1667,77.5833,56.52,61,88,7.49,overcast clouds
100,Chumikan,RU,54.7183,135.315,49.03,86,80,8.61,broken clouds
101,Ayapel,CO,8.3137,-75.1398,83.01,67,100,3.02,overcast clouds
102,Sao Pedro Do Piaui,BR,-5.9294,-42.7186,102.92,14,13,4.88,few clouds
103,Borda Da Mata,BR,-22.2742,-46.1653,83.16,58,100,1.39,overcast clouds
104,High Level,CA,58.5169,-117.136,53.71,82,75,8.05,broken clouds
105,Rundu,NA,-17.9333,19.7667,69.84,26,5,6.76,clear sky
106,Saiha,IN,22.4833,92.9667,68.67,98,96,2.98,overcast clouds
107,Terrace,CA,54.5163,-128.6035,59.43,82,75,12.66,light rain
108,Clyde River,CA,70.4692,-68.5914,33.19,82,100,18.81,light snow
109,Bonthe,SL,7.5264,-12.505,78.62,82,100,6.22,overcast clouds
110,Isangel,VU,-19.55,169.2667,59.11,88,5,4.61,clear sky
111,Constitucion,CL,-35.3333,-72.4167,54.36,92,100,28.95,light rain
112,Victor Harbor,AU,-35.5667,138.6167,53.69,74,53,16.2,broken clouds
113,Ambon,ID,-3.6954,128.1814,77.14,94,40,3.44,light rain
114,Bonavista,CA,48.6499,-53.1147,69.12,67,0,25.99,clear sky
115,Marystown,CA,47.1666,-55.1483,62.94,76,0,26.31,clear sky
116,Ilulissat,GL,69.2167,-51.1,31.03,51,0,12.01,clear sky
117,Fairmont,US,39.4851,-80.1426,78.26,57,0,1.01,clear sky
118,Sendai,JP,38.2689,140.8719,65.32,86,0,3.85,clear sky
119,Manokwari,ID,-0.8667,134.0833,77.65,75,72,2.64,broken clouds
120,Harper,LR,4.375,-7.7169,78.91,86,33,7.96,scattered clouds
121,Hasaki,JP,35.7333,140.8333,73.8,89,98,5.44,overcast clouds
122,Quatre Cocos,MU,-20.2078,57.7625,71.71,78,99,17.72,overcast clouds
123,Qaanaaq,GL,77.484,-69.3632,23.32,70,11,6.91,few clouds
124,Kawalu,ID,-7.3817,108.2082,72.32,95,100,1.83,overcast clouds
125,Margate,GB,51.3813,1.3862,66.06,73,100,1.99,overcast clouds
126,Tiksi,RU,71.6872,128.8694,44.1,56,37,9.13,scattered clouds
127,Mahebourg,MU,-20.4081,57.7,71.89,78,75,14.97,broken clouds
128,Marfino,RU,55.7028,37.3822,60.75,94,65,4.47,broken clouds
129,Kaitangata,NZ,-46.2817,169.8464,43.03,84,100,6.24,overcast clouds
130,Khovu-Aksy,RU,51.1333,93.6,43.52,59,27,4.54,scattered clouds
131,Bethel,US,41.3712,-73.414,77.49,60,40,4.0,scattered clouds
132,Hamilton,US,39.1834,-84.5333,82.65,56,20,1.99,few clouds
133,Guadalupe Y Calvo,MX,26.1,-106.9667,73.63,24,0,9.75,clear sky
134,East London,ZA,-33.0153,27.9116,77.94,50,0,3.44,clear sky
135,Port Elizabeth,ZA,-33.918,25.5701,61.11,94,90,16.11,overcast clouds
136,Inhambane,MZ,-23.865,35.3833,67.98,77,40,4.61,scattered clouds
137,Alofi,NU,-19.0595,-169.9187,71.49,100,33,6.91,scattered clouds
138,Chokurdakh,RU,70.6333,147.9167,35.76,67,100,13.04,overcast clouds
139,Shache,CN,38.4167,77.2406,76.5,25,100,12.35,overcast clouds
140,Jieshi,CN,22.8134,115.8257,84.58,78,94,10.29,overcast clouds
141,Iqaluit,CA,63.7506,-68.5145,40.73,45,90,10.36,overcast clouds
142,Havelock,US,34.8791,-76.9013,85.05,58,0,4.0,clear sky
143,Ziro,IN,27.6333,93.8333,58.1,92,99,2.01,overcast clouds
144,Saskylakh,RU,71.9167,114.0833,45.5,70,80,7.76,broken clouds
145,Cidreira,BR,-30.1811,-50.2056,66.43,65,0,7.34,clear sky
146,Longyearbyen,SJ,78.2186,15.6401,33.64,75,0,5.75,clear sky
147,Khromtau,KZ,50.2503,58.4347,47.17,59,5,10.63,clear sky
148,Pozo Colorado,PY,-23.4923,-58.7972,91.08,24,0,7.54,clear sky
149,Tabou,CI,4.423,-7.3528,78.48,87,22,8.14,few clouds
150,Grand Gaube,MU,-20.0064,57.6608,72.0,76,100,5.99,overcast clouds
151,Linxia,CN,35.6003,103.2064,60.8,70,0,3.8,clear sky
152,Norman Wells,CA,65.282,-126.8329,51.84,87,90,8.05,light rain
153,Xining,CN,36.6167,101.7667,57.97,66,0,2.35,clear sky
154,Namatanai,PG,-3.6667,152.4333,78.6,80,67,5.17,broken clouds
155,Bojnurd,IR,37.4747,57.329,69.75,46,0,2.3,clear sky
156,Okhotsk,RU,59.3833,143.3,45.19,71,0,3.53,clear sky
157,Sao Filipe,CV,14.8961,-24.4956,80.13,76,100,5.41,overcast clouds
158,Zilair,RU,52.2332,57.4392,37.26,75,42,3.38,scattered clouds
159,Umm Lajj,SA,25.0213,37.2685,83.07,68,1,10.54,clear sky
160,Sinnamary,GF,5.3833,-52.95,84.42,66,7,12.88,clear sky
161,Bantva,IN,21.4864,70.0689,79.43,91,99,8.9,overcast clouds
162,Oussouye,SN,12.485,-16.5469,89.78,79,99,7.43,overcast clouds
163,Bengkulu,ID,-3.8004,102.2655,75.2,93,99,5.75,overcast clouds
164,Naryan-Mar,RU,67.6713,53.087,35.94,93,71,7.99,broken clouds
165,Oakdale,US,44.963,-92.9649,80.67,63,1,6.91,clear sky
166,Fortuna,US,40.5982,-124.1573,69.93,66,1,3.0,clear sky
167,Port Blair,IN,11.6667,92.75,81.19,84,57,19.22,broken clouds
168,Cap Malheureux,MU,-19.9842,57.6142,72.09,76,100,5.99,overcast clouds
169,Garissa,KE,-0.4536,39.6401,76.93,63,70,24.72,broken clouds
170,Peterhead,GB,57.5058,-1.7981,59.4,92,97,28.1,overcast clouds
171,Witu,KE,-2.3889,40.4382,75.11,80,13,13.67,few clouds
172,Padang,ID,-0.9492,100.3543,75.25,86,85,3.18,overcast clouds
173,Zaozerne,UA,45.1582,33.2787,65.95,63,100,11.95,overcast clouds
174,Nieuw Amsterdam,SR,5.8833,-55.0833,91.56,60,40,2.3,scattered clouds
175,Luderitz,NA,-26.6481,15.1594,58.21,75,2,12.84,clear sky
176,Farafangana,MG,-22.8167,47.8333,66.67,84,73,6.58,light rain
177,Jurmala,LV,56.968,23.7704,62.62,94,75,4.61,light intensity shower rain
178,Tasiilaq,GL,65.6145,-37.6368,39.36,58,100,9.37,overcast clouds
179,Saint George,US,37.1041,-113.5841,99.07,25,1,1.01,clear sky
180,Esperance,AU,-33.8667,121.9,51.64,67,68,10.58,broken clouds
181,Lerwick,GB,60.1545,-1.1494,51.8,77,100,20.6,overcast clouds
182,Lovozero,RU,68.005,35.0117,36.23,88,78,7.54,broken clouds
183,Galesong,ID,-5.3166,119.3661,75.22,86,66,3.56,broken clouds
184,San Cristobal,VE,7.7669,-72.225,77.18,81,100,5.73,overcast clouds
185,Nome,US,64.5011,-165.4064,42.87,87,90,6.91,overcast clouds
186,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,83,75,10.36,broken clouds
187,Mar Del Plata,AR,-38.0023,-57.5575,57.22,82,90,11.5,overcast clouds
188,Basco,PH,20.4487,121.9702,80.2,92,100,42.75,heavy intensity rain
189,Rio Grande,BR,-32.035,-52.0986,64.51,83,84,5.93,broken clouds
190,Ilhabela,BR,-23.7781,-45.3581,73.67,70,16,3.6,few clouds
191,Leningradskiy,RU,69.3833,178.4167,28.47,92,100,18.88,light snow
192,Rio Gallegos,AR,-51.6226,-69.2181,51.85,24,0,18.41,clear sky
193,Gospic,HR,44.5461,15.3747,60.49,67,9,4.52,clear sky
194,Russell,US,32.3502,-85.1999,85.91,57,30,7.05,scattered clouds
195,Koygorodok,RU,60.445,50.9968,43.97,80,84,9.08,broken clouds
196,Berlevag,NO,70.8578,29.0864,43.38,75,100,11.5,overcast clouds
197,Sioux Lookout,CA,50.1001,-91.917,60.87,55,40,14.97,scattered clouds
198,Klaksvik,FO,62.2266,-6.589,50.92,80,89,6.44,overcast clouds
199,Ostrovnoy,RU,68.0531,39.5131,40.73,81,97,13.85,overcast clouds
200,Half Moon Bay,US,37.4636,-122.4286,84.06,72,46,7.99,scattered clouds
201,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,75,14.97,broken clouds
202,Hope,US,33.6671,-93.5916,84.85,34,0,6.67,clear sky
203,Saint Anthony,US,45.0205,-93.218,80.26,56,1,5.75,clear sky
204,Iskateley,RU,67.6803,53.1512,35.91,93,82,7.92,broken clouds
205,Faya,SA,18.3851,42.4509,71.71,54,74,3.31,broken clouds
206,Prince Rupert,CA,54.3161,-130.3201,57.29,85,90,8.05,light rain
207,Korla,CN,41.7597,86.1469,72.48,30,80,6.62,broken clouds
208,Torbay,CA,47.6666,-52.7314,68.29,75,20,27.63,few clouds
209,Pisco,PE,-13.7,-76.2167,64.45,77,40,9.22,scattered clouds
210,Mayo,US,38.8876,-76.5119,81.93,54,81,3.0,broken clouds
211,Mahon,ES,39.8885,4.2658,75.76,73,0,2.3,clear sky
212,Pinhao,BR,-25.6956,-51.6597,72.14,55,88,4.34,overcast clouds
213,San Ramon,US,37.7799,-121.978,86.23,50,0,1.99,clear sky
214,Korem,ET,12.5058,39.5228,61.39,66,24,2.55,few clouds
215,Sobolevo,RU,54.4299,31.8996,58.55,77,89,5.77,overcast clouds
216,Chuy,UY,-33.6971,-53.4616,60.6,81,62,5.91,broken clouds
217,Viedma,AR,-40.8135,-62.9967,68.76,41,100,24.58,moderate rain
218,Benghazi,LY,32.1167,20.0667,82.8,64,0,4.14,clear sky
219,Novo Aripuana,BR,-5.1206,-60.3797,92.14,46,95,2.77,overcast clouds
220,Emba,KZ,48.8264,58.1442,52.34,42,1,10.6,clear sky
221,Ribeira Grande,PT,38.5167,-28.7,72.0,73,20,14.97,few clouds
222,Novoleushkovskaya,RU,45.9956,39.9921,68.94,49,100,7.2,light rain
223,Todos Santos,MX,23.45,-110.2167,90.01,70,68,8.19,broken clouds
224,Elvas,PT,38.8815,-7.1628,82.62,41,55,3.15,broken clouds
225,San Quintin,MX,30.4833,-115.95,80.02,66,1,12.53,clear sky
226,Wonthaggi,AU,-38.6044,145.5913,53.06,77,80,16.84,light rain
227,Flin Flon,CA,54.7682,-101.865,51.64,62,75,10.36,broken clouds
